"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R20,R18,R19,R17";"R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical";4;"91";;;
2;"R9,R12,R11,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";4;"100k";;;
3;"R25";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"5k1";;;
4;"R24,R23,R22,R21";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"634";;;
5;"R16,R15,R14,R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";4;"10k";;;
6;"R8,R7,R6,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";4;"5K1";;;
7;"R4,R3,R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";4;"330";;;
8;"U2,U1";"DIP-8_W7.62mm";2;"P82B96";;;
9;"C5,C6,C4,C3";"CP_Radial_Tantal_D5.5mm_P5.00mm";4;"10 uF";;;
10;"U4,U3";"Texas_S-PVSON-N10";2;"OPA1622";;;
11;"C18,C16,C19,C14,C21";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";5;"0.01uF";;;
12;"C8,C10,C7,C9";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";4;"COG 470pF";;;
13;"U5";"SOIC-24";1;"CS5381K";;;
14;"J2,J1";"RJ45_Amphenol_RJHSE538X";2;"RJ45";;;
15;"J4";"PinHeader_2x06_P2.54mm_Vertical";1;"J4";;;
16;"C1,C2";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"C";;;
17;"C13";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"220uF";;;
18;"C15,C17,C20";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";3;"1uF";;;
19;"J5";"PinHeader_2x10_P2.54mm_Vertical";1;"J2";;;
20;"J6";"PinHeader_2x08_P2.54mm_Vertical";1;"J1";;;
21;"C11,C12";"CP_Radial_D5.0mm_P2.50mm";2;"2700pF";;;
22;"J3";"PinHeader_2x08_P2.54mm_Vertical";1;"J3";;;
