"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length";"Track Length";"Die Length";"Net Length";
001;"GND";7;0;0.0000 mm;80.9573 mm;0.0000 mm;80.9573 mm;
002;"A0";3;0;0.0000 mm;24.4699 mm;0.0000 mm;24.4699 mm;
003;"A1";3;0;0.0000 mm;15.3445 mm;0.0000 mm;15.3445 mm;
004;"A4";3;0;0.0000 mm;12.0241 mm;0.0000 mm;12.0241 mm;
005;"A5";3;0;0.0000 mm;17.7821 mm;0.0000 mm;17.7821 mm;
006;"5V";15;0;0.0000 mm;109.7009 mm;0.0000 mm;109.7009 mm;
013;"VIN";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
014;"RST";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
015;"P3V3";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
016;"Net-(U2-Pad5)";4;0;0.0000 mm;22.8535 mm;0.0000 mm;22.8535 mm;
017;"Net-(U2-Pad2)";4;0;0.0000 mm;31.0575 mm;0.0000 mm;31.0575 mm;
018;"Net-(U1-Pad5)";4;0;0.0000 mm;23.1029 mm;0.0000 mm;23.1029 mm;
019;"Net-(U1-Pad2)";4;0;0.0000 mm;29.7947 mm;0.0000 mm;29.7947 mm;
020;"D9";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
021;"D8";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
022;"D7B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
023;"D7";2;0;0.0000 mm;25.2753 mm;0.0000 mm;25.2753 mm;
024;"D6B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
025;"D6";2;0;0.0000 mm;27.5409 mm;0.0000 mm;27.5409 mm;
026;"D5B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
027;"D5";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
028;"D4B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
029;"D4";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
030;"D3B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
031;"D3";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
032;"D2B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
033;"D2";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
034;"D1B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
035;"D15";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
036;"D14";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
037;"D13";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
038;"D12";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
039;"D11";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
040;"D10";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
041;"D1";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
042;"D0B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
043;"D0";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
044;"AREF";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
045;"AD9";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
046;"AD8";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
047;"AD17";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
048;"AD16";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
049;"AD14";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
050;"AD13";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
051;"AD12";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
052;"AD11";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
053;"AD10";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
054;"A9B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
055;"A8B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
056;"A7B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
057;"A6B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
058;"A5B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
059;"A4B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
060;"A3B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
061;"A3";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
062;"A2B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
063;"A2";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
064;"A1B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
065;"A13B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
066;"A12B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
067;"A11B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
068;"A10B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
069;"A0B";1;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
